Days,Miles,Receipts,
3,191.00,21.87,
1,81.00,3.93,
3,204.00,16.76,
1,64.00,22.47,
3,204.00,22.19,
1,51.00,17.84,
3,207.00,18.16,
1,182.00,11.75,
1,164.00,9.59,
2,109.00,14.74,
1,110.00,9.81,
1,50.00,0.27,
2,41.00,2.06,
3,143.00,24.16,
2,53.00,2.24,
3,205.00,1.96,
3,163.00,15.86,
3,38.00,1.85,
3,182.00,2.42,
3,144.00,9.52,
2,192.00,13.65,
1,29.00,17.29,
1,167.00,1.14,
2,30.00,6.32,
3,160.00,24.82,
1,167.00,22.49,
1,194.00,1.44,
2,70.00,2.48,
1,143.00,4.06,
3,168.00,0.83,
2,141.00,9.16,
2,165.00,9.62,
2,162.00,5.18,
1,147.00,7.96,
2,45.00,13.79,
2,53.00,17.66,
2,179.00,19.26,
1,41.00,17.06,
3,133.00,14.89,
2,164.00,22.83,
1,34.00,19.68,
1,158.00,23.46,
2,50.00,24.81,
3,45.00,8.01,
1,32.00,2.19,
1,32.00,21.24,
3,187.00,15.92,
1,129.00,15.66,
3,41.00,12.47,
2,102.00,15.32,
3,154.00,6.90,
3,79.00,17.07,
1,91.00,23.11,
3,164.00,8.58,
3,80.00,10.14,
2,199.00,19.16,
3,185.00,6.81,
2,148.00,6.62,
1,28.00,12.20,
3,158.00,22.15,
1,37.00,5.40,
2,64.00,9.99,
2,95.00,3.33,
1,115.00,23.11,
3,168.00,14.87,
3,66.00,4.87,
2,119.00,16.17,
3,147.00,19.52,
3,186.00,19.58,
3,190.00,10.98,
2,105.00,10.56,
3,10.00,22.04,
1,49.00,2.59,
3,205.00,13.12,
2,56.00,11.68,
3,110.00,19.42,
1,74.00,3.23,
2,192.00,9.90,
2,174.00,9.43,
2,22.00,11.95,
2,58.00,18.66,
2,57.00,7.06,
2,60.00,4.18,
1,80.00,4.75,
3,15.00,24.86,
3,176.00,13.54,
1,148.00,2.15,
2,82.00,17.51,
1,113.00,24.76,
2,113.00,0.31,
1,152.00,21.42,
2,123.00,1.81,
3,105.00,18.69,
1,118.00,13.64,
2,146.00,19.39,
3,31.00,18.60,
2,205.00,18.62,
1,186.00,22.66,
3,57.00,11.63,
2,157.00,18.20,
5,389.00,423.41,
5,402.00,1398.41,
5,283.00,610.77,
5,805.00,1321.66,
5,680.00,778.66,
5,103.00,469.84,
5,264.00,1234.12,
5,665.00,1060.18,
5,290.00,527.13,
5,323.00,1143.58,
5,131.00,596.78,
5,273.00,1532.89,
5,711.00,971.64,
5,641.00,1141.70,
5,815.00,966.17,
5,213.00,1459.76,
5,583.00,266.32,
5,128.00,586.82,
5,360.00,964.13,
5,146.00,608.05,
5,774.00,1262.90,
5,636.00,1251.94,
5,239.00,706.12,
5,847.00,603.11,
5,129.00,646.63,
5,620.00,1326.79,
5,399.00,319.42,
5,274.00,531.99,
5,52.00,493.31,
5,616.00,178.66,
5,342.00,1302.36,
5,411.00,683.98,
5,713.00,519.06,
5,705.00,202.99,
5,361.00,1119.02,
5,427.00,220.66,
5,178.00,935.48,
5,656.00,929.35,
5,288.00,1365.81,
5,562.00,444.56,
5,230.00,533.79,
5,298.00,811.29,
5,573.00,742.77,
5,648.00,99.23,
5,762.00,491.48,
5,605.00,963.51,
5,557.00,1493.93,
5,513.00,1352.63,
5,689.00,276.79,
5,345.00,1267.30,
5,719.00,216.37,
5,490.00,1326.91,
5,450.00,741.83,
5,519.00,1146.75,
5,125.00,1247.30,
5,196.00,801.36,
5,836.00,657.77,
5,288.00,965.55,
5,485.00,217.71,
5,114.00,594.61,
5,455.00,979.22,
5,202.00,209.14,
5,669.00,659.98,
5,277.00,692.71,
5,376.00,1286.37,
5,732.00,848.46,
5,332.00,331.21,
5,288.00,416.49,
5,801.00,1233.24,
5,67.00,64.42,
5,359.00,216.75,
5,689.00,372.23,
5,325.00,575.91,
5,155.00,1022.20,
5,188.00,1142.37,
5,759.00,842.00,
5,589.00,1234.38,
5,296.00,478.20,
5,270.00,284.47,
5,55.00,712.64,
5,562.00,1178.89,
5,273.00,1052.61,
5,223.00,825.01,
5,808.00,1265.63,
5,818.00,486.90,
5,87.00,896.07,
5,162.00,663.77,
5,700.00,273.82,
5,141.00,778.22,
5,516.00,1150.26,
5,371.00,1501.91,
5,537.00,883.00,
5,622.00,492.17,
5,152.00,340.01,
5,77.00,281.02,
5,629.00,709.22,
5,779.00,436.92,
5,330.00,113.97,
5,367.00,112.29,
5,415.00,575.13,
9,1099.00,1668.45,
9,269.00,1781.44,
12,1000.00,675.11,
9,579.00,440.25,
9,108.00,1437.72,
12,1014.00,1213.65,
11,612.00,445.84,
9,595.00,242.11,
9,1078.00,105.31,
12,725.00,922.10,
9,444.00,1221.57,
