Days,Miles,Receipts,Reimb,R-R,
3,93,1.42,364.51,363.09,
1,55,3.6,126.06,122.46,
1,47,17.97,128.91,110.94,
2,13,4.67,203.52,198.85,
3,88,5.78,380.37,374.59,
1,76,13.74,158.35,144.61,
3,41,4.52,320.12,315.6,
1,140,22.71,199.68,176.97,
3,121,21.17,464.07,442.9,
3,117,21.99,359.1,337.11,
2,202,21.24,356.17,334.93,
3,80,21.05,366.87,345.82,
2,21,20.04,204.58,184.54,
3,177,18.73,430.86,412.13,
1,141,10.15,195.14,184.99,
1,58,5.86,117.24,111.38,
1,133,8.34,179.06,170.72,
1,59,8.31,120.65,112.34,
2,89,13.85,234.2,220.35,
2,147,17.43,325.56,308.13,
5,130,306.9,574.1,267.2,
5,173,1337.9,1443.96,106.06,
5,592,433.75,869,435.25,
5,679,476.08,1030.41,554.33,
5,708,1129.52,1654.62,525.1,
5,261,464.94,621.12,156.18,
5,794,511,1139.94,628.94,
5,521,1448.55,1624.01,175.46,
5,595,863.93,1231.67,367.74,
5,811,952.39,1608.6,656.21,
5,477,704.42,1045.96,341.54,
5,730,485.73,991.49,505.76,
5,262,1173.79,1485.59,311.8,
5,446,219.98,788.62,568.64,
5,751,407.43,1063.46,656.03,
5,324,128.94,686.54,557.6,
5,414,967,1368.94,401.94,
5,367,290.78,742.25,451.47,
5,764,848.75,1468.46,619.71,
5,249,873.75,1185.24,311.49,
8,862,1817.85,1719.37,-98.48,
11,927,1994.33,1779.12,-215.21,
9,602,186.69,1085.4,898.71,
8,610,208.29,841.27,632.98,
12,333,1103.21,1618.13,514.92,
8,435,1129.65,1525.26,395.61,
9,218,1203.45,1561.63,358.18,
12,781,1159.18,1752.72,593.54,
11,916,1036.91,2098.07,1061.16,
10,358,2066.62,1624.11,-442.51,
12,566,2013.7,1752.03,-261.67,
9,954,1483.39,2024.2,540.81,
9,534,1929.94,1624.87,-305.07,
12,765,1343.97,1953.03,609.06,
8,630,967.69,1388.05,420.36,
10,909,696,1505.19,809.19,
10,223,745.89,1037.45,291.56,
8,467,1178.71,1483.33,304.62,
9,708,461.07,1110.6,649.53,
9,885,1764.97,1694.37,-70.6,
6,855,591.35,1339.72,748.37,
2,993,54.24,715.19,660.95,
5,685,747.14,1216.36,469.22,
3,981,341.45,813.95,472.5,
5,770,873.33,1502.49,629.16,
6,697,651.64,1237.71,586.07,
3,795,450.85,743.94,293.09,
3,606,1184.23,1364.54,180.31,
3,842,865.37,1251.14,385.77,
7,748,241.73,971.31,729.58,
7,624,148.16,905.79,757.63,
2,713,740.33,1048.28,307.95,
3,874,1191.4,1515.99,324.59,
6,761,530.19,1120.1,589.91,
1,815,97.89,539.36,441.47,
1,601,497.7,644.12,146.42,
7,817,1127.87,1809.91,682.04,
1,606,923,1050.05,127.05,
1,909,741.82,866.07,124.25,
3,624,1160.92,1459.34,298.42,
4,650,619.49,676.38,56.89,
6,204,818.99,628.4,-190.59,
1,263,396.49,198.42,-198.07,
1,451,555.49,162.18,-393.31,
10,424,474.99,831.96,356.97,
2,565,389.49,415.96,26.47,
9,397,348.49,913.29,564.8,
1,532,413.99,355.57,-58.42,
2,384,495.49,290.36,-205.13,
5,754,489.99,765.13,275.14,
1,344.46,813.85,707.88,-105.97,
3,906.3,540.03,848.42,308.39,
3,1007.56,187.52,764.64,577.12,
1,359.62,221.15,255.57,34.42,
1,362.79,749.19,636.51,-112.68,
1,288.72,159.26,303.94,144.68,
2,782.17,830.72,1165.44,334.72,
2,623.18,347.54,625.15,277.61,
3,1061.15,388.5,693.36,304.86,
1,252.75,285.5,331.74,46.24,
3,1020.39,250.62,779.08,528.46,
1,257.97,816.81,738.01,-78.8,
3,1025.03,592.55,992.4,399.85,
2,794.32,402.31,671.06,268.75,
1,276.85,485.54,361.66,-123.88,
2,851.68,473.96,650.68,176.72,
3,859.12,611.07,960.47,349.4,
3,1317.07,476.87,787.42,310.55,
1,388.1,827.37,741.46,-85.91,
1,264.39,758.27,636.19,-122.08,
5,198.21,594.83,807.48,212.65,
6,72.85,457.75,666.59,208.84,
8,297.64,481.09,835.08,353.99,
7,237.33,1262.27,1452.17,189.9,
5,195.73,1228.49,511.23,-717.26,
8,276.28,1179.9,1522.6,342.7,
8,302.24,1046.04,1353.77,307.73,
8,266.87,252.08,880.41,628.33,
9,310.69,239.64,828.16,588.52,
6,222.08,709.07,1031.34,322.27,
8,264.94,720.67,1019.85,299.18,
8,161.15,1230.37,1499.24,268.87,
9,259.96,554.74,835.54,280.8,
9,97.85,518.56,850.57,332.01,
9,194.34,1054.93,1374.9,319.97,
9,332.35,374.61,830.45,455.84,
5,126.44,696.14,845.35,149.21,
5,66.13,848.03,1050.25,202.22,
6,135.34,1144.13,1478.11,333.98,
6,233.7,346.98,648.57,301.59,
9,849,1007.41,1785.47,778.06,
6,806,1760.64,1718.76,-41.88,
8,891,1194.36,2016.46,822.1,
9,1182,1342.24,2164.15,821.91,
7,1010,1514.03,2063.98,549.95,
8,892,1768.53,1902.37,133.84,
6,825,1692.73,1817.77,125.04,
8,1118,1758.52,1852.47,93.95,
8,1064,1756.52,1857.04,100.52,
6,811,1252.04,1771.8,519.76,
7,889,1417.96,1826.08,408.12,
9,1012,1429.04,1880.76,451.72,
6,909,1332.18,1720.21,388.03,
9,1096,1690.22,1894.85,204.63,
9,913,1021.29,1964.86,943.57,
6,1006,1219.71,1803.97,584.26,
6,907,1650.17,1737.86,87.69,
9,816,1171.81,1780.58,608.77,
7,1006,1181.33,2279.82,1098.49,
6,835,1404.28,1765.79,361.51,
12,528,2476.41,1662.88,-813.53,
4,69,2321.49,322,-1999.49,
11,1179,31.36,1550.55,1519.19,
13,756,954.4,1793.07,838.67,
1,123,2076.65,1171.68,-904.97,
3,1162,2152.66,1434.71,-717.95,
1,822,2170.53,1374.91,-795.62,
11,558,1549.86,1823.47,273.61,
2,753,1111.16,1353.87,242.71,
10,224,407.51,794.7,387.19,
6,383,462.79,800.3,337.51,
8,1005,1391.37,1987.39,596.02,
10,1145,311.43,1366.61,1055.18,
5,1004,2367.63,1743.85,-623.78,
5,873,1402.35,1676.79,274.44,
2,165,1813.32,1273.45,-539.87,
5,1076,190.33,879.65,689.32,
12,986,2390.92,1760,-630.92,
7,948,657.17,1578.97,921.8,
3,429,2400.13,1411.95,-988.18,
4,362,646.43,788.53,142.1,
2,622,1871.56,1494.23,-377.33,
1,140,255.99,150.34,-105.65,
8,123,612.55,851.24,238.69,
4,87,2463.92,1413.52,-1050.4,
10,164,1144.9,1516.43,371.53,
1,989,2196.84,1439.17,-757.67,
4,470,1968.63,1501.1,-467.53,
1,37,1397.17,1092.94,-304.23,
8,488,439.7,1030.13,590.43,
12,757,897.4,1780.07,882.67,
14,958,1727.76,2065.16,337.4,
2,456,2390.7,1342.39,-1048.31,
5,733,41.18,771.83,730.65,
5,291,1279.7,1477.12,197.42,
10,478,2091.79,1568.41,-523.38,
8,817,1455.73,1847.26,391.53,
6,1043,1404.35,1807.42,403.07,
2,958,1855.58,1549.54,-306.04,
9,524,474.75,935.4,460.65,
6,45,81.59,522.58,440.99,
8,342,2259.06,1502.02,-757.04,
12,379,1897.29,1682.98,-214.31,
6,333,1254.68,1585.02,330.34,
2,634,1739.81,1490.51,-249.3,
5,285,974.73,1282.84,308.11,
12,33,1249.13,1707.38,458.25,
9,118,1285.82,1539.77,253.95,
1,420,2273.6,1220.35,-1053.25,
11,312,2072.39,1586.22,-486.17,
10,753,2054.02,1779.08,-274.94,
5,125,96.38,570.99,474.61,
6,597,888.84,1395.65,506.81,
12,1065,203.2,1408.25,1205.05,
1,214,540.03,402.81,-137.22,
11,886,922.66,1852.24,929.58,
10,621,978.73,1656.28,677.55,
4,1000,2355.34,1699.56,-655.78,
13,534,1765.96,1881.36,115.4,
6,475,1800.71,1671.23,-129.48,
11,623,2265.21,1739.18,-526.03,
1,620,973.91,1112.02,138.11,
13,1004,1757.75,1960.67,202.92,
8,962,1929.63,1897.19,-32.44,
14,516,1464.67,1842.1,377.43,
11,685,2272.75,1873.94,-398.81,
3,307,266.21,540.97,274.76,
3,375,1346.21,1339.93,-6.28,
4,1124,2177.18,1567.43,-609.75,
3,779,2110.9,1520.73,-590.17,
8,1173,671.25,1419.34,748.09,
14,47,1667.14,1745.18,78.04,
3,981,2008.83,1539.47,-469.36,
5,516,1450.67,1547.5,96.83,
