Days,Miles,Receipts,Reimb
3,93,1.42,364.51
1,55,3.6,126.06
1,47,17.97,128.91
2,13,4.67,203.52
3,88,5.78,380.37
1,76,13.74,158.35
3,41,4.52,320.12
1,140,22.71,199.68
3,121,21.17,464.07
3,117,21.99,359.1
2,202,21.24,356.17
3,80,21.05,366.87
2,21,20.04,204.58
3,177,18.73,430.86
1,141,10.15,195.14
1,58,5.86,117.24
1,133,8.34,179.06
1,59,8.31,120.65
2,89,13.85,234.2
2,147,17.43,325.56
5,130,306.9,574.1
5,173,1337.9,1443.96
5,592,433.75,869
5,679,476.08,1030.41
5,708,1129.52,1654.62
5,261,464.94,621.12
5,794,511,1139.94
5,521,1448.55,1624.01
5,595,863.93,1231.67
5,811,952.39,1608.6
5,477,704.42,1045.96
5,730,485.73,991.49
5,262,1173.79,1485.59
5,446,219.98,788.62
5,751,407.43,1063.46
5,324,128.94,686.54
5,414,967,1368.94
5,367,290.78,742.25
5,764,848.75,1468.46
5,249,873.75,1185.24
8,862,1817.85,1719.37
11,927,1994.33,1779.12
9,602,186.69,1085.4
8,610,208.29,841.27
12,333,1103.21,1618.13
8,435,1129.65,1525.26
9,218,1203.45,1561.63
12,781,1159.18,1752.72
11,916,1036.91,2098.07
10,358,2066.62,1624.11
12,566,2013.7,1752.03
9,954,1483.39,2024.2
9,534,1929.94,1624.87
12,765,1343.97,1953.03
8,630,967.69,1388.05
10,909,696,1505.19
10,223,745.89,1037.45
8,467,1178.71,1483.33
9,708,461.07,1110.6
9,885,1764.97,1694.37
6,855,591.35,1339.72
2,993,54.24,715.19
5,685,747.14,1216.36
3,981,341.45,813.95
5,770,873.33,1502.49
6,697,651.64,1237.71
3,795,450.85,743.94
3,606,1184.23,1364.54
3,842,865.37,1251.14
7,748,241.73,971.31
7,624,148.16,905.79
2,713,740.33,1048.28
3,874,1191.4,1515.99
6,761,530.19,1120.1
1,815,97.89,539.36
1,601,497.7,644.12
7,817,1127.87,1809.91
1,606,923,1050.05
1,909,741.82,866.07
3,624,1160.92,1459.34
4,650,619.49,676.38
6,204,818.99,628.4
1,263,396.49,198.42
1,451,555.49,162.18
10,424,474.99,831.96
2,565,389.49,415.96
9,397,348.49,913.29
1,532,413.99,355.57
2,384,495.49,290.36
5,754,489.99,765.13
1,344.46,813.85,707.88
3,906.3,540.03,848.42
3,1007.56,187.52,764.64
1,359.62,221.15,255.57
1,362.79,749.19,636.51
1,288.72,159.26,303.94
2,782.17,830.72,1165.44
2,623.18,347.54,625.15
3,1061.15,388.5,693.36
1,252.75,285.5,331.74
3,1020.39,250.62,779.08
1,257.97,816.81,738.01
3,1025.03,592.55,992.4
2,794.32,402.31,671.06
1,276.85,485.54,361.66
2,851.68,473.96,650.68
3,859.12,611.07,960.47
3,1317.07,476.87,787.42
1,388.1,827.37,741.46
1,264.39,758.27,636.19
5,198.21,594.83,807.48
6,72.85,457.75,666.59
8,297.64,481.09,835.08
7,237.33,1262.27,1452.17
5,195.73,1228.49,511.23
8,276.28,1179.9,1522.6
8,302.24,1046.04,1353.77
8,266.87,252.08,880.41
9,310.69,239.64,828.16
6,222.08,709.07,1031.34
8,264.94,720.67,1019.85
8,161.15,1230.37,1499.24
9,259.96,554.74,835.54
9,97.85,518.56,850.57
9,194.34,1054.93,1374.9
9,332.35,374.61,830.45
5,126.44,696.14,845.35
5,66.13,848.03,1050.25
6,135.34,1144.13,1478.11
6,233.7,346.98,648.57
9,849,1007.41,1785.47
6,806,1760.64,1718.76
8,891,1194.36,2016.46
9,1182,1342.24,2164.15
7,1010,1514.03,2063.98
8,892,1768.53,1902.37
6,825,1692.73,1817.77
8,1118,1758.52,1852.47
8,1064,1756.52,1857.04
6,811,1252.04,1771.8
7,889,1417.96,1826.08
9,1012,1429.04,1880.76
6,909,1332.18,1720.21
9,1096,1690.22,1894.85
9,913,1021.29,1964.86
6,1006,1219.71,1803.97
6,907,1650.17,1737.86
9,816,1171.81,1780.58
7,1006,1181.33,2279.82
6,835,1404.28,1765.79
12,528,2476.41,1662.88
4,69,2321.49,322
11,1179,31.36,1550.55
13,756,954.4,1793.07
1,123,2076.65,1171.68
3,1162,2152.66,1434.71
1,822,2170.53,1374.91
11,558,1549.86,1823.47
2,753,1111.16,1353.87
10,224,407.51,794.7
6,383,462.79,800.3
8,1005,1391.37,1987.39
10,1145,311.43,1366.61
5,1004,2367.63,1743.85
5,873,1402.35,1676.79
2,165,1813.32,1273.45
5,1076,190.33,879.65
12,986,2390.92,1760
7,948,657.17,1578.97
3,429,2400.13,1411.95
4,362,646.43,788.53
2,622,1871.56,1494.23
1,140,255.99,150.34
8,123,612.55,851.24
4,87,2463.92,1413.52
10,164,1144.9,1516.43
1,989,2196.84,1439.17
4,470,1968.63,1501.1
1,37,1397.17,1092.94
8,488,439.7,1030.13
12,757,897.4,1780.07
14,958,1727.76,2065.16
2,456,2390.7,1342.39
5,733,41.18,771.83
5,291,1279.7,1477.12
10,478,2091.79,1568.41
8,817,1455.73,1847.26
6,1043,1404.35,1807.42
2,958,1855.58,1549.54
9,524,474.75,935.4
6,45,81.59,522.58
8,342,2259.06,1502.02
12,379,1897.29,1682.98
6,333,1254.68,1585.02
2,634,1739.81,1490.51
5,285,974.73,1282.84
12,33,1249.13,1707.38
9,118,1285.82,1539.77
1,420,2273.6,1220.35
11,312,2072.39,1586.22
10,753,2054.02,1779.08
5,125,96.38,570.99
6,597,888.84,1395.65
12,1065,203.2,1408.25
1,214,540.03,402.81
11,886,922.66,1852.24
10,621,978.73,1656.28
4,1000,2355.34,1699.56
13,534,1765.96,1881.36
6,475,1800.71,1671.23
11,623,2265.21,1739.18
1,620,973.91,1112.02
13,1004,1757.75,1960.67
8,962,1929.63,1897.19
14,516,1464.67,1842.1
11,685,2272.75,1873.94
3,307,266.21,540.97
3,375,1346.21,1339.93
4,1124,2177.18,1567.43
3,779,2110.9,1520.73
8,1173,671.25,1419.34
14,47,1667.14,1745.18
3,981,2008.83,1539.47
5,516,1450.67,1547.5
6,471,332.51,872.19
2,941,1565.77,1432.79
10,377,301.96,837.36
7,273,285.83,793.58
1,458,834.7,737.28
11,772,932.31,1575.52
11,36,1541.47,1593.24
12,211,1048.29,1579.73
7,987,2164.1,1839.67
9,662,2275.59,1599.27
12,96,1164.37,1553.21
5,569,1856.7,1623.81
12,128,477.17,874.99
4,886,2401.28,1698
13,19,807.27,1331.53
8,275,2347.09,1454.47
9,963,588.5,1434.42
14,1056,2489.69,1894.16
5,728,423.16,947.72
4,286,1063.49,418.17
11,332,1352.48,1663.39
12,49,1118.38,1494.81
2,18,2503.46,1206.95
14,592,1268.36,1930.24
3,892,171.32,875.39
11,741,1872.39,1847.08
14,807,2358.41,1819.41
5,873,1584.53,1796.7
3,1159,2209.44,1434.84
11,920,1338.65,1871.27
1,388,390.7,332.06
9,576,1059.79,1547.5
9,524,2367.12,1640.78
10,459,2183.11,1559.59
4,725,588.9,1097.95
1,992,958.87,1222.41
10,536,2194.42,1615.13
11,1126,1593.03,2143.74
10,314,1098.8,1539.1
1,9,2246.28,1120.22
11,706,1508.23,2030.59
10,976,2166.02,1775.03
5,1028,653.19,1313.95
8,1166,99.47,1149.07
12,882,1958.14,1944.88
11,448,732.79,1090.35
7,623,1691.39,1800.86
3,127,293.49,303.2
12,218,486.02,1005.67
3,1166,530.44,785.59
11,17,550.58,830.07
9,696,1749.97,1649.49
4,305,125.79,664.43
12,104,1300.05,1779.92
1,303,931.53,857.42
8,1012,2390.84,1732.12
9,938,2224.29,1913.87
3,471,288.19,535.67
5,72,977.67,1156.55
10,160,2272.56,1642.15
10,965,1851.28,1805.77
3,266,2178.16,1447.95
12,734,2491.82,1792.31
12,64,1641.01,1710.72
9,497,1845.08,1674.09
3,781,1801.38,1586.21
3,158,1070.74,1183.16
3,1096,200.27,802.96
11,1116,2067.8,1987.44
10,831,39.86,982.64
14,124,1064.64,1761.68
4,10,1262.73,1261.41
5,955,106.86,897.78
7,1176,2489.13,1921.16
6,803,465.6,1012
9,868,62.12,1022.81
1,181,128.05,225.12
3,70,631.88,564.16
8,1090,419.76,1189.47
14,1184,2269.89,1943.24
1,735,1676.9,1365.21
2,547,119.09,509.52
11,265,218.66,949.34
10,223,886.32,1305.54
12,959,1947.82,1833.24
11,498,1578.39,1793.52
14,127,988.4,1688.9
3,621,214.08,779.66
6,1193,2241.5,1839.47
